Company,Cluster,Industry
FC00F2e91*2Fb61,5,Technology
20feB20cA_1CC0c,6,Technology
a41b89bcb9696f%,3,Technology
266#097eEF27d67,2,Technology
91d4+6BAf70dfCb,3,Technology
f=2AE9e1834bc5D,5,Technology
7@0b692483f3368,2,Technology
e536035=54eFcF5,8,Technology
4B6C_7945B922e7,9,Technology
9$a9b82C501Af53,2,Technology
^094B41bC9EFF4C,28,Technology
8-2c31ec9A90cb8,14,Technology
e210DfAf@986894,2,Technology
3a68BDB*27c9aA5,3,Technology
bc8C8E402b9C0f@,2,Technology
EC7C@eC427a579B,24,Technology
4AFC26130A^043e,14,Technology
ebe2182a1e_680c,6,Technology
02D9a1&c2b2B224,2,Technology
6C1C0Ea145b&c4B,2,Technology
fF2105b^555390E,6,Technology
4763C11F3B$1F36,6,Technology
%80CBbbfD78a6f9,2,Technology
0B^f113C3DDC8aE,2,Technology
d7@A17d6BD90744,2,Technology
-9001815F40998b,6,Technology
c3D63112C0603+a,2,Technology
571Ac1ec18^0eC1,9,Technology
7CD4$4850e2938c,6,Technology
951Ab74_0C0667c,2,Technology
25F&8D32C5FC903,2,Technology
5a261f72d1&9570,4,Technology
23e254Fff_52e5A,2,Technology
DD-76a4de8D1138,3,Technology
09CB174f^7c6cdD,2,Technology
8E028240D8589*4,6,Technology
eC27Ef6+f8a248e,2,Technology
%c4Cee9fb9c59b4,7,Technology
!e2E8B7cF0694aC,4,Technology
aBDeDC370*a3Bb5,2,Technology
013^1433CD84683,2,Technology
58f50afB10%76b0,9,Technology
949cDb0963-5f94,6,Technology
162A8FA62a5*492,6,Technology
b32a91f3B8Ef55*,2,Technology
-1b893213Be5168,5,Technology
73F406C7C!2E5ac,6,Technology
80=4Bf4bbb7338F,2,Technology
E0d70D25bC3D2*8,2,Technology
6771e_256F7B0a1,9,Technology
E346aC5!FA0Eb47,6,Technology
04403a81$38A9B0,2,Technology
7085eaBba$cC614,2,Technology
90859336E#07cF8,14,Technology
1f1d&0d759aa10A,7,Technology
91Aab#D0A50cc96,2,Technology
